Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
RUMAH CANTIK DALAM PERUMAHAN DI JALAN SOLO,"Kalasan, Sleman",765000000.0,2.0,2.0,2,102.0,61.0,0.0007307563328044526,0.012658227848101266,0.005319148936170213,0.05263157894736842,2.8857151102043172e-05,5.128209511290181e-05,rumah cantik rumah jalan solo,kalas sleman,jual cepat rumah baru cluster lokasi jl solo yogyakarta km 13 kalas sleman diy kondisi,rumah dekat akses transportasi dekat pusat belanja dekat sekolah
Rumah Modern Minimalis Kalasan,"Kalasan, Sleman",780000000.0,2.0,2.0,2,102.0,61.0,0.0007457718738894756,0.012658227848101266,0.005319148936170213,0.05263157894736842,2.8857151102043172e-05,5.128209511290181e-05,rumah modern minimal kalas,kalas sleman,jual rumah minimal modern baru cluster 16 unit lokasi dekat jalan raya jogja solo,rumah
"Rumah di Potorono Banguntapan Yogyakarta, Lt 100m2","Banguntapan, Bantul",950000000.0,3.0,2.0,1,100.0,188.0,0.0009159480061864029,0.025316455696202535,0.005319148936170213,0.0,2.8285722367349247e-05,0.00015982919643521063,rumah potorono banguntapan yogyakarta lt 100m2,banguntapan bantul,spesifikasi luas tanah 100m2 luas bangun 188m2 2 lantai 3 kamar tidur 2 kamar mandi ruang keluarga,rumah dekat akses transportasi dekat pusat belanja dekat sekolah
"Rumah 2 Lantai Dijual Dekat Kids Fun Yogyakarta, Lt 100m2","Banguntapan, Bantul",11000000000.0,2.0,4.0,2,100.0,200.0,0.010976360533151812,0.012658227848101266,0.015957446808510637,0.05263157894736842,2.8285722367349247e-05,0.00017008561545779098,rumah 2 lantai jual dekat kids fun yogyakarta lt 100m2,banguntapan bantul,spesifikasi luas tanah 100m2 luas bangun 200m2 2 lantai 4 kmr tdr 2 kmr mandi ruang keluarga,rumah dekat akses transportasi dekat pusat belanja dekat sekolah
Rumah eksotis ala villa di dekat candi Prambanan Klaten Jateng,"Prambanan, Sleman",115000000000.0,3.0,2.0,1,208.0,98.0,0.11508411205597793,0.025316455696202535,0.005319148936170213,0.0,5.9142874040821155e-05,8.290605376585792e-05,rumah eksotis ala villa dekat candi prambanan klaten jateng,prambanan sleman,lokasi utara candi prambanan manisrenggo klaten batas jogja klaten rumah villa area,rumah dekat sekolah dekat tempat wisata dekat tempat ibadah
200 M KE UAD!! DIJUAL KOS2AN UMBULHARJO DEKAT KAMPUS UAD,"Umbulharjo, Yogyakarta",650000000.0,7.0,4.0,1,70.0,140.0,0.000615637184485943,0.0759493670886076,0.015957446808510637,0.0,1.9714291346940386e-05,0.00011880352034488919,200 m uad jual kos2an umbulharjo dekat kampus uad,umbulharjo yogyakarta,bismillah jual kos2an kotamadya umbulharjo dekat kampus uad uty uin ust uncok spesifikasi,rumah dekat sekolah
Rumah 10 Kamar Siap Huni 2 Lantai Dekat Kampus Pgri,"Gamping, Sleman",17000000000.0,10.0,4.0,1,176.0,222.0,0.01698257696716101,0.1139240506329114,0.015957446808510637,0.0,5.000001428571837e-05,0.00018888905033252165,rumah 10 kamar siap huni 2 lantai dekat kampus pgri,gamping sleman,jual rumah siap huni 2 lantai 10 kamar tidur cocok banget jadi guest house akses jalan aspal,rumah siap huni dekat pusat belanja dekat sekolah
Rumah Modern Full Furnished Siap Huni 3 Menit Ke Kampus Umy,"Sleman, Yogyakarta",950000000.0,2.0,1.0,1,125.0,77.0,0.0009159480061864029,0.012658227848101266,0.0,0.0,3.54285815510233e-05,6.495732047634229e-05,rumah modern full furnished siap huni 3 menit kampus umy,sleman yogyakarta,jual rumah siap huni full furnished konsep modern perum ambarketawang gamping,rumah full furnished siap huni dekat pusat belanja
Rumah 2 Lantai Siap Huni Dalam Perum 3 Menit Ke Filosofi Kopi,"Sleman, Yogyakarta",15000000000.0,4.0,3.0,1,117.0,90.0,0.014980504822491279,0.0379746835443038,0.010638297872340424,0.0,3.31428666122476e-05,7.606844108413768e-05,rumah 2 lantai siap huni perum 3 menit filosofi kopi,sleman yogyakarta,jual rumah siap huni 2 lantai konsep modern perum palagan sleman cek yukkk kode,rumah siap huni dekat pusat belanja
Rumah Siap Huni Full Furnish di Banguntapan Dekat Gembiraloka Zoo,"Banguntapan, Bantul",13000000000.0,3.0,3.0,1,112.0,103.0,0.012978432677821545,0.025316455696202535,0.010638297872340424,0.0,3.171429477551279e-05,8.717956169193306e-05,rumah siap huni full furnish banguntapan dekat gembiraloka zoo,banguntapan bantul,jual rumah siap huni 2 lantai konsep modern perum banguntapan bantul cek yukkk,rumah full furnished siap huni dekat pusat belanja
